20810306 - Mcm3 1
20832747 - SNORA17 1
20880554 - AC156980.3 1
20880698 + Paqr8 1
20905621 - SNORA17 1
20941707 + Efhc1 1
21069310 - Tram2 1
21208656 + Tmem14a 1
21230670 + Gsta3 1
21262484 + AC101743.2 1
21288393 - AC101743.1 1
21339722 + Khdc1a 1
21344086 + AC115920.6 1
21354884 + AC115920.7 1
21358412 + Khdc1c 1
21362751 + AC115920.8 1
21369636 + AC115920.9 1
21373637 + Khdc1b 1
21380996 + AC115920.10 1
21503137 - AC115920.2 1
21949923 + AC125483.1 1
21952023 - Kcnq5 1
22812563 - Rims1 1
23109070 - 4933415F23Rik 1
23252050 + SNORA17 1
23263245 - Gm6420 1
23279108 + mmu-mir-30a 1
23298540 + mmu-mir-30c-2 1
23390014 - Ogfrl1 1
23768592 + B3gat2 1
23929156 - Smap1 1
24012495 - 1110058L19Rik 1
24093413 - Fam135a 1
24184449 + Col9a1 1
24555816 - SNORA64 1
24594311 - Col19a1 1
24619539 - AC116997.1 1
24621490 - Gm10925 1
24685383 + Lmbrd1 1
25280575 + AC122187.1 1
25336396 - U6 1
25507916 + U6 1
25886552 - Bai3 1
25887502 + Gm9884 1
26623678 + SNORA17 1
26744305 - 4931408C20Rik 1
27016066 - 5S_rRNA 1
27099346 + AC102363.1 1
27130448 + AC153790.1 1
28637613 - AC122186.1 1
28837097 - Gm597 1
28859566 - AC121566.1 1
28994880 + AC122020.1 1
29337920 - Y_RNA 1
29358325 + AC163659.1 1
29418215 - AC163659.2 1
30042779 + AC126798.1 1
30776806 - Gm9898 1
30920101 - Phf3 1
31006615 - Ptp4a1 1
31035810 - AC153137.2 1
31043798 - AC121911.1 1
31056750 - AC121911.2 1
31233251 + Lgsn 1
31279506 - 4931428L18Rik 1
31279684 + AC121888.3 1
31279784 + 4930521A18Rik 1
31316564 - SNORA17 1
31672836 + AC134327.1 1
31713583 - U6 1
31792901 + AC134327.1 1
32229572 + Khdrbs2 1
32270084 - U6 1
32577844 - Gm9839 1
32602979 - Gm5415 1
32625266 - U7 1
32730574 - AC124771.1 1
32783484 + 7SK 1
33157733 + AC171813.1 1
33248838 + U6 1
33350521 + U6 1
33479578 + U6 1
33726600 - Prim2 1
33726688 + 1700001G17Rik 1
33776727 + Rab23 1
33814639 - Bag2 1
33871440 - Zfp451 1
33895525 - AC163668.5 1
33964661 - Bend6 1
33965125 + Dst 1
34038347 - U6 1
34235118 - AC127433.1 1
34460294 - AC162904.1 1
34496189 - Ccdc115 1
34496696 + Imp4 1
34503604 + D1Ertd448e 1
34516591 + Ptpn18 1
34542456 - AC106841.1 1
34555275 + Prss39 1
34592493 + Cfc1 1
34617788 - Tesp2 1
34636458 - 1700101I19Rik 1
34636572 + Fam123c 1
34735033 + AC107766.1 1
34778769 + Arhgef4 1
34779929 + AC107766.1 1
34899910 - Fam168b 1
34906804 + Plekhb2 1
35235929 - SNORA17 1
35818447 + U6 1
36125245 + Hs6st1 1
36301121 - Uggt1 1
36330270 - Neurl3 1
36364578 + Arid5a 1
36426026 - 4632411B12Rik 1
36466236 + Fer1l5 1
36502116 - Lman2l 1
36528465 + Cnnm4 1
36568712 + Cnnm3 1
36575817 + AC084391.1 1
36592574 - Ankrd23 1
36604061 - Ankrd39 1
36615194 - Sema4c 1
36615204 + AC084391.4 1
36658647 + RP23-247A1.1 1
36720810 + AC084389.1 1
36740028 - Fam178b 1
36748425 + Cox5b 1
36771267 - Actr1b 1
36818706 + Zap70 1
36968172 + AC123854.2 1
36996372 - Tmem131 1
37015272 - AC123854.1 1
37015362 - AC123854.1 1
37062284 + 5S_rRNA 1
37083441 + Vwa3b 1
37210689 + AC133096.1 1
37275181 + Cnga3 1
37356710 + Inpp4a 1
37391017 - AC133096.2 1
37474944 - AC084390.1 1
37486948 - 6330578E17Rik 1
37487015 + Unc50 1
37545827 - AC084390.5 1
37597861 - Mgat4a 1
37671104 + AC123068.2 1
37776930 - 2010300C02Rik 1
37922143 - Tsga10 1
37928583 + Lipt1 1
37947256 - Mitd1 1
37947322 + Mrpl30 1
37973338 - Lyg2 1
37990441 + AC119189.3 1
38014604 - Lyg1 1
38030812 + 7SK 1
38054191 - Txndc9 1
38054855 + Eif5b 1
38186507 - Rev1 1
38292265 + AC138386.1 1
38364747 + AC117789.3 1
38441794 + AC117789.2 1
38721800 - Aff3 1
38892935 - Lonrf2 1
38955005 - Chst10 1
38995994 + Nms 1
39044662 + Pdcl3 1
39251049 + Npas2 1
39424757 + Rpl31 1
39535580 - Tbc1d8 1
39576378 + U3 1
39591837 + D1Bwg0212e 1
39605699 - SNORD89 1
39608847 - AC074336.1 1
39630720 - SNORA33 1
39634250 - Rnf149 1
39708027 - Creg2 1
39777842 - AC119809.3 1
39958075 + Map4k4 1
40141587 + Il1r2 1
40142698 - AC161534.1 1
40281925 + Il1r1 1
40381472 + Il1rl2 1
40496621 + Il1rl1 1
40522851 + Il18r1 1
40572207 + Il18rap 1
40637072 + Slc9a4 1
40666590 + snoU13 1
40738470 + Slc9a2 1
40847532 - Mfsd9 1
40862446 + Tmem182 1
40921064 - AC101702.1 1
42286571 + Gm9915 1
42749960 - 2610017I09Rik 1
42753991 + Pou3f3 1
42908128 + Mrps9 1
42923663 - SNORA17 1
43009719 + AC163673.1 1
43009808 + Gpr45 1
43009984 + AC112941.1 1
43093690 + AC112941.2 1
43149433 + 8430432A02Rik 1
43155467 - Tgfbrap1 1
43155555 + AI597479 1
43220714 - Fhl2 1
43245960 + AC161207.2 1
43502596 + Nck2 1
43514118 + AC107865.1 1
43787447 + 1500015O10Rik 1
43842755 + AC159092.3 1
43884645 - Uxs1 1
43959773 + SNORA17 1
43975731 - AC125134.1 1
43990847 + Tpp2 1
44075494 - AC111064.2 1
44076879 - A530098C11Rik 1
44159286 - 1700029F09Rik 1
44175653 - Kdelc1 1
44175802 + Bivm 1
44204692 + Ercc5 1
44269007 + AC110217.1 1
44275806 - 4832428D23Rik 1
44528122 + AC124406.1 1
44608356 + Gulp1 1
44701124 + AC107810.1 1
45368383 + Col3a1 1
45560127 - Col5a2 1
45742407 - U6 1
45803740 + SNORA55 1
45829807 + RNaseP_nuc 1
45852011 + Wdr75 1
45914599 - AC121575.1 1
45982439 - Slc40a1 1
46038393 + AC123557.1 1
46087314 - Gm4776 1
46135353 + AC108850.1 1
46232431 + Dnahc7b 1
46346411 + Dnahc7b 1
46431042 + 5S_rRNA 1
46487608 + Dnahc7a 1
46910891 - Slc39a10 1
47423216 - AC102313.1 1
47806243 - AC134426.2 1
47808412 - 7SK 1
48519137 - U1 1
49301460 + C230029F24Rik 1
50616606 + 7SK 1
50957491 + Tmeff2 1
51345970 + Sdpr 1
51535243 - Obfc2a 1
51972915 - Myo1b 1
52065087 + Stat4 1
52147910 - AC123752.1 1
52176282 + Stat1 1
52290076 - Gls 1
52501388 - U6 1
52557204 - Nab1 1
52687591 + Tmem194b 1
52713885 - AC161876.1 1
52784306 - Mfsd6 1
52874532 - Inpp1 1
52901857 + Hibch 1
52930842 - AC110177.2 1
53020104 - 1700019D03Rik 1
53118484 + Mstn 1
53156894 + SNORA17 1
53244461 - 1700019A02Rik 1
53353862 - Pms1 1
53353939 + Ormdl1 1
53370468 + Osgepl1 1
53409596 - Asnsd1 1
53525571 - AC153650.1 1
53622541 - Dnahc7a 1
53763628 - AC100561.1 1
53842068 - Stk17b 1
53943785 - U1 1
54252012 - Hecw2 1
54306052 - U6 1
54307527 + Ccdc150 1
54495815 - Gtf3c3 1
54532741 - Pgap1 1
54614467 - Pgap1 1
54826062 + AC151572.1 1
54983202 - Ankrd44 1
55084323 - Sf3b1 1
55094720 + AC108391.1 1
55109614 + Coq10b 1
55144976 + Hspe1 1
